fiscal_year,cp_rate,rate_hike_above_loudoun,new_capex_this_year,ncf,refresh_factor,cp_av,cp_revenue
2027,7.000000,2.850000,3846656250.000000,0.909375,0.900000,5278328125.000000,369482968.750000
2028,7.000000,2.850000,3446333333.333334,0.879167,0.800000,5154496354.166667,360814744.791667
2029,7.000000,2.850000,3138625000.000000,0.879167,0.700000,4974860416.666667,348240229.166667
2030,7.000000,2.850000,2795750000.000000,0.879167,0.600000,4775326041.666667,334272822.916667
2031,7.000000,2.850000,2417708333.333333,0.879167,0.500000,4557057812.500000,318994046.875000
2032,7.000000,2.850000,2417708333.333333,0.879167,0.500000,4497714062.500000,314839984.375000
2033,7.000000,2.850000,2417708333.333333,0.879167,0.500000,4544749479.166667,318132463.541667
2034,7.000000,2.850000,2417708333.333333,0.879167,0.500000,4646732812.500000,325271296.875000
2035,7.000000,2.850000,2417708333.333333,0.879167,0.500000,4767618229.166667,333733276.041667
2036,7.000000,2.850000,2417708333.333333,0.879167,0.500000,4888503645.833333,342195255.208333
